"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Create user","LMS service","Wed Dec 03 19:35:07 UTC 2025","passed","Wed Dec 03 19:35:08 UTC 2025","Create entity","Users","",""
"","33","Create courses","LMS service","Wed Dec 03 19:35:00 UTC 2025","passed","Wed Dec 03 19:35:00 UTC 2025","Create entity","Courses","",""
"","22","Delete file","LMS service","Wed Dec 03 19:35:07 UTC 2025","passed","Wed Dec 03 19:35:07 UTC 2025","Delete entity","Files","",""
"","11","Get user me","LMS service","Wed Dec 03 19:35:09 UTC 2025","passed","Wed Dec 03 19:35:09 UTC 2025","Get entity","Users","",""
"","291","Create user","LMS service","Wed Dec 03 19:35:07 UTC 2025","passed","Wed Dec 03 19:35:08 UTC 2025","Create entity","Users","",""
"","50","Get exercises","LMS service","Wed Dec 03 19:35:04 UTC 2025","passed","Wed Dec 03 19:35:04 UTC 2025","Get entities","Exercises","",""
"","30","Get courses","LMS service","Wed Dec 03 19:35:00 UTC 2025","passed","Wed Dec 03 19:35:00 UTC 2025","Get entities","Courses","",""
"","15","Get file","LMS service","Wed Dec 03 19:35:05 UTC 2025","passed","Wed Dec 03 19:35:05 UTC 2025","Get entity","Files","",""
"","17","Get exercise","LMS service","Wed Dec 03 19:35:03 UTC 2025","passed","Wed Dec 03 19:35:03 UTC 2025","Get entity","Exercises","",""
"","287","Delete exercise","LMS service","Wed Dec 03 19:35:03 UTC 2025","passed","Wed Dec 03 19:35:04 UTC 2025","Delete entity","Exercises","",""
"","269","Get file with incorrect file id","LMS service","Wed Dec 03 19:35:07 UTC 2025","passed","Wed Dec 03 19:35:07 UTC 2025","Validate entity","Files","",""
"","291","Update exercise","LMS service","Wed Dec 03 19:35:02 UTC 2025","passed","Wed Dec 03 19:35:02 UTC 2025","Update entity","Exercises","",""
"","529","Create user","LMS service","Wed Dec 03 19:35:07 UTC 2025","passed","Wed Dec 03 19:35:07 UTC 2025","Create entity","Users","",""
"","299","Update course","LMS service","Wed Dec 03 19:35:01 UTC 2025","passed","Wed Dec 03 19:35:01 UTC 2025","Update entity","Courses","",""
"","260","Create file","LMS service","Wed Dec 03 19:35:04 UTC 2025","passed","Wed Dec 03 19:35:04 UTC 2025","Create entity","Files","",""
"","258","Create file with empty filename","LMS service","Wed Dec 03 19:35:05 UTC 2025","passed","Wed Dec 03 19:35:06 UTC 2025","Validate entity","Files","",""
"","292","Create exercise","LMS service","Wed Dec 03 19:35:01 UTC 2025","passed","Wed Dec 03 19:35:01 UTC 2025","Create entity","Exercises","",""
"","255","Create file with empty directory","LMS service","Wed Dec 03 19:35:06 UTC 2025","passed","Wed Dec 03 19:35:06 UTC 2025","Validate entity","Files","",""
"","283","Login with correct email and password","LMS service","Wed Dec 03 19:34:59 UTC 2025","passed","Wed Dec 03 19:34:59 UTC 2025","Login","Authentication","",""
