"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Get exercises","LMS service","Mon Dec 01 15:00:36 UTC 2025","passed","Mon Dec 01 15:00:36 UTC 2025","Get entities","Exercises","",""
"","263","Create file with empty directory","LMS service","Mon Dec 01 15:00:37 UTC 2025","passed","Mon Dec 01 15:00:38 UTC 2025","Validate entity","Files","",""
"","21","Create file","LMS service","Mon Dec 01 15:00:36 UTC 2025","passed","Mon Dec 01 15:00:36 UTC 2025","Create entity","Files","",""
"","33","Get courses","LMS service","Mon Dec 01 15:00:32 UTC 2025","passed","Mon Dec 01 15:00:32 UTC 2025","Get entities","Courses","",""
"","30","Update course","LMS service","Mon Dec 01 15:00:32 UTC 2025","passed","Mon Dec 01 15:00:32 UTC 2025","Update entity","Courses","",""
"","40","Create courses","LMS service","Mon Dec 01 15:00:31 UTC 2025","passed","Mon Dec 01 15:00:31 UTC 2025","Create entity","Courses","",""
"","539","Create user","LMS service","Mon Dec 01 15:00:38 UTC 2025","passed","Mon Dec 01 15:00:39 UTC 2025","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Mon Dec 01 15:00:37 UTC 2025","passed","Mon Dec 01 15:00:37 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Mon Dec 01 15:00:40 UTC 2025","passed","Mon Dec 01 15:00:40 UTC 2025","Get entity","Users","",""
"","554","Login with correct email and password","LMS service","Mon Dec 01 15:00:30 UTC 2025","passed","Mon Dec 01 15:00:31 UTC 2025","Login","Authentication","",""
"","560","Create user","LMS service","Mon Dec 01 15:00:39 UTC 2025","passed","Mon Dec 01 15:00:39 UTC 2025","Create entity","Users","",""
"","22","Delete exercise","LMS service","Mon Dec 01 15:00:34 UTC 2025","passed","Mon Dec 01 15:00:35 UTC 2025","Delete entity","Exercises","",""
"","290","Get file","LMS service","Mon Dec 01 15:00:37 UTC 2025","passed","Mon Dec 01 15:00:37 UTC 2025","Get entity","Files","",""
"","256","Get file with incorrect file id","LMS service","Mon Dec 01 15:00:39 UTC 2025","passed","Mon Dec 01 15:00:39 UTC 2025","Validate entity","Files","",""
"","25","Delete file","LMS service","Mon Dec 01 15:00:38 UTC 2025","passed","Mon Dec 01 15:00:38 UTC 2025","Delete entity","Files","",""
"","31","Create exercise","LMS service","Mon Dec 01 15:00:33 UTC 2025","passed","Mon Dec 01 15:00:33 UTC 2025","Create entity","Exercises","",""
"","37","Update exercise","LMS service","Mon Dec 01 15:00:33 UTC 2025","passed","Mon Dec 01 15:00:33 UTC 2025","Update entity","Exercises","",""
"","291","Create user","LMS service","Mon Dec 01 15:00:39 UTC 2025","passed","Mon Dec 01 15:00:39 UTC 2025","Create entity","Users","",""
"","28","Get exercise","LMS service","Mon Dec 01 15:00:34 UTC 2025","passed","Mon Dec 01 15:00:34 UTC 2025","Get entity","Exercises","",""
