"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Update course","LMS service","Mon Dec 01 16:04:31 UTC 2025","passed","Mon Dec 01 16:04:31 UTC 2025","Update entity","Courses","",""
"","28","Delete file","LMS service","Mon Dec 01 16:04:37 UTC 2025","passed","Mon Dec 01 16:04:37 UTC 2025","Delete entity","Files","",""
"","264","Get file with incorrect file id","LMS service","Mon Dec 01 16:04:38 UTC 2025","passed","Mon Dec 01 16:04:38 UTC 2025","Validate entity","Files","",""
"","26","Create exercise","LMS service","Mon Dec 01 16:04:32 UTC 2025","passed","Mon Dec 01 16:04:32 UTC 2025","Create entity","Exercises","",""
"","289","Update exercise","LMS service","Mon Dec 01 16:04:33 UTC 2025","passed","Mon Dec 01 16:04:33 UTC 2025","Update entity","Exercises","",""
"","553","Login with correct email and password","LMS service","Mon Dec 01 16:04:29 UTC 2025","passed","Mon Dec 01 16:04:30 UTC 2025","Login","Authentication","",""
"","291","Get exercise","LMS service","Mon Dec 01 16:04:33 UTC 2025","passed","Mon Dec 01 16:04:33 UTC 2025","Get entity","Exercises","",""
"","40","Get exercises","LMS service","Mon Dec 01 16:04:34 UTC 2025","passed","Mon Dec 01 16:04:34 UTC 2025","Get entities","Exercises","",""
"","288","Create user","LMS service","Mon Dec 01 16:04:38 UTC 2025","passed","Mon Dec 01 16:04:38 UTC 2025","Create entity","Users","",""
"","286","Delete exercise","LMS service","Mon Dec 01 16:04:34 UTC 2025","passed","Mon Dec 01 16:04:34 UTC 2025","Delete entity","Exercises","",""
"","27","Get courses","LMS service","Mon Dec 01 16:04:31 UTC 2025","passed","Mon Dec 01 16:04:31 UTC 2025","Get entities","Courses","",""
"","267","Create file with empty filename","LMS service","Mon Dec 01 16:04:36 UTC 2025","passed","Mon Dec 01 16:04:36 UTC 2025","Validate entity","Files","",""
"","263","Create file with empty directory","LMS service","Mon Dec 01 16:04:37 UTC 2025","passed","Mon Dec 01 16:04:37 UTC 2025","Validate entity","Files","",""
"","561","Create user","LMS service","Mon Dec 01 16:04:38 UTC 2025","passed","Mon Dec 01 16:04:39 UTC 2025","Create entity","Users","",""
"","13","Get file","LMS service","Mon Dec 01 16:04:36 UTC 2025","passed","Mon Dec 01 16:04:36 UTC 2025","Get entity","Files","",""
"","307","Create courses","LMS service","Mon Dec 01 16:04:30 UTC 2025","passed","Mon Dec 01 16:04:30 UTC 2025","Create entity","Courses","",""
"","13","Get user me","LMS service","Mon Dec 01 16:04:39 UTC 2025","passed","Mon Dec 01 16:04:39 UTC 2025","Get entity","Users","",""
"","264","Create file","LMS service","Mon Dec 01 16:04:35 UTC 2025","passed","Mon Dec 01 16:04:35 UTC 2025","Create entity","Files","",""
"","524","Create user","LMS service","Mon Dec 01 16:04:37 UTC 2025","passed","Mon Dec 01 16:04:38 UTC 2025","Create entity","Users","",""
