"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Get courses","LMS service","Mon Dec 01 14:48:52 UTC 2025","passed","Mon Dec 01 14:48:52 UTC 2025","Get entities","Courses","",""
"","301","Delete file","LMS service","Mon Dec 01 14:48:58 UTC 2025","passed","Mon Dec 01 14:48:58 UTC 2025","Delete entity","Files","",""
"","15","Get file","LMS service","Mon Dec 01 14:48:57 UTC 2025","passed","Mon Dec 01 14:48:57 UTC 2025","Get entity","Files","",""
"","39","Get exercises","LMS service","Mon Dec 01 14:48:56 UTC 2025","passed","Mon Dec 01 14:48:56 UTC 2025","Get entities","Exercises","",""
"","34","Create courses","LMS service","Mon Dec 01 14:48:51 UTC 2025","passed","Mon Dec 01 14:48:51 UTC 2025","Create entity","Courses","",""
"","549","Login with correct email and password","LMS service","Mon Dec 01 14:48:50 UTC 2025","passed","Mon Dec 01 14:48:51 UTC 2025","Login","Authentication","",""
"","19","Delete exercise","LMS service","Mon Dec 01 14:48:54 UTC 2025","passed","Mon Dec 01 14:48:54 UTC 2025","Delete entity","Exercises","",""
"","18","Create file","LMS service","Mon Dec 01 14:48:56 UTC 2025","passed","Mon Dec 01 14:48:56 UTC 2025","Create entity","Files","",""
"","29","Create exercise","LMS service","Mon Dec 01 14:48:53 UTC 2025","passed","Mon Dec 01 14:48:53 UTC 2025","Create entity","Exercises","",""
"","16","Get exercise","LMS service","Mon Dec 01 14:48:53 UTC 2025","passed","Mon Dec 01 14:48:53 UTC 2025","Get entity","Exercises","",""
"","30","Update course","LMS service","Mon Dec 01 14:48:52 UTC 2025","passed","Mon Dec 01 14:48:52 UTC 2025","Update entity","Courses","",""
"","13","Get file with incorrect file id","LMS service","Mon Dec 01 14:48:59 UTC 2025","passed","Mon Dec 01 14:48:59 UTC 2025","Validate entity","Files","",""
"","27","Update exercise","LMS service","Mon Dec 01 14:48:54 UTC 2025","passed","Mon Dec 01 14:48:54 UTC 2025","Update entity","Exercises","",""
"","255","Create file with empty filename","LMS service","Mon Dec 01 14:48:56 UTC 2025","passed","Mon Dec 01 14:48:57 UTC 2025","Validate entity","Files","",""
"","262","Create file with empty directory","LMS service","Mon Dec 01 14:48:58 UTC 2025","passed","Mon Dec 01 14:48:58 UTC 2025","Validate entity","Files","",""
