"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Update exercise","LMS service","Thu Dec 04 08:23:00 UTC 2025","passed","Thu Dec 04 08:23:00 UTC 2025","Update entity","Exercises","",""
"","302","Update course","LMS service","Thu Dec 04 08:22:59 UTC 2025","passed","Thu Dec 04 08:22:59 UTC 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Thu Dec 04 08:23:07 UTC 2025","passed","Thu Dec 04 08:23:07 UTC 2025","Get entity","Users","",""
"","539","Create user","LMS service","Thu Dec 04 08:23:05 UTC 2025","passed","Thu Dec 04 08:23:05 UTC 2025","Create entity","Users","",""
"","291","Create user","LMS service","Thu Dec 04 08:23:05 UTC 2025","passed","Thu Dec 04 08:23:06 UTC 2025","Create entity","Users","",""
"","25","Create exercise","LMS service","Thu Dec 04 08:22:59 UTC 2025","passed","Thu Dec 04 08:22:59 UTC 2025","Create entity","Exercises","",""
"","30","Get courses","LMS service","Thu Dec 04 08:22:58 UTC 2025","passed","Thu Dec 04 08:22:58 UTC 2025","Get entities","Courses","",""
"","261","Create file with empty directory","LMS service","Thu Dec 04 08:23:04 UTC 2025","passed","Thu Dec 04 08:23:04 UTC 2025","Validate entity","Files","",""
"","265","Create file with empty filename","LMS service","Thu Dec 04 08:23:03 UTC 2025","passed","Thu Dec 04 08:23:04 UTC 2025","Validate entity","Files","",""
"","256","Create file","LMS service","Thu Dec 04 08:23:02 UTC 2025","passed","Thu Dec 04 08:23:03 UTC 2025","Create entity","Files","",""
"","316","Get exercises","LMS service","Thu Dec 04 08:23:02 UTC 2025","passed","Thu Dec 04 08:23:02 UTC 2025","Get entities","Exercises","",""
"","19","Get exercise","LMS service","Thu Dec 04 08:23:00 UTC 2025","passed","Thu Dec 04 08:23:00 UTC 2025","Get entity","Exercises","",""
"","33","Create courses","LMS service","Thu Dec 04 08:22:58 UTC 2025","passed","Thu Dec 04 08:22:58 UTC 2025","Create entity","Courses","",""
"","556","Create user","LMS service","Thu Dec 04 08:23:06 UTC 2025","passed","Thu Dec 04 08:23:06 UTC 2025","Create entity","Users","",""
"","557","Login with correct email and password","LMS service","Thu Dec 04 08:22:57 UTC 2025","passed","Thu Dec 04 08:22:57 UTC 2025","Login","Authentication","",""
"","273","Get file with incorrect file id","LMS service","Thu Dec 04 08:23:05 UTC 2025","passed","Thu Dec 04 08:23:05 UTC 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Thu Dec 04 08:23:05 UTC 2025","passed","Thu Dec 04 08:23:05 UTC 2025","Delete entity","Files","",""
"","29","Delete exercise","LMS service","Thu Dec 04 08:23:02 UTC 2025","passed","Thu Dec 04 08:23:02 UTC 2025","Delete entity","Exercises","",""
"","14","Get file","LMS service","Thu Dec 04 08:23:03 UTC 2025","passed","Thu Dec 04 08:23:03 UTC 2025","Get entity","Files","",""
