"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create exercise","LMS service","Wed Dec 17 15:25:30 UTC 2025","passed","Wed Dec 17 15:25:30 UTC 2025","Create entity","Exercises","",""
"","293","Create user","LMS service","Wed Dec 17 15:25:36 UTC 2025","passed","Wed Dec 17 15:25:36 UTC 2025","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Wed Dec 17 15:25:27 UTC 2025","passed","Wed Dec 17 15:25:28 UTC 2025","Login","Authentication","",""
"","23","Update exercise","LMS service","Wed Dec 17 15:25:30 UTC 2025","passed","Wed Dec 17 15:25:30 UTC 2025","Update entity","Exercises","",""
"","13","Get user me","LMS service","Wed Dec 17 15:25:37 UTC 2025","passed","Wed Dec 17 15:25:37 UTC 2025","Get entity","Users","",""
"","558","Create user","LMS service","Wed Dec 17 15:25:36 UTC 2025","passed","Wed Dec 17 15:25:37 UTC 2025","Create entity","Users","",""
"","18","Delete exercise","LMS service","Wed Dec 17 15:25:32 UTC 2025","passed","Wed Dec 17 15:25:32 UTC 2025","Delete entity","Exercises","",""
"","27","Get courses","LMS service","Wed Dec 17 15:25:29 UTC 2025","passed","Wed Dec 17 15:25:29 UTC 2025","Get entities","Courses","",""
"","47","Get exercise","LMS service","Wed Dec 17 15:25:31 UTC 2025","passed","Wed Dec 17 15:25:32 UTC 2025","Get entity","Exercises","",""
"","293","Delete file","LMS service","Wed Dec 17 15:25:35 UTC 2025","passed","Wed Dec 17 15:25:35 UTC 2025","Delete entity","Files","",""
"","45","Get exercises","LMS service","Wed Dec 17 15:25:33 UTC 2025","passed","Wed Dec 17 15:25:33 UTC 2025","Get entities","Exercises","",""
"","19","Create file","LMS service","Wed Dec 17 15:25:33 UTC 2025","passed","Wed Dec 17 15:25:33 UTC 2025","Create entity","Files","",""
"","262","Create file with empty filename","LMS service","Wed Dec 17 15:25:34 UTC 2025","passed","Wed Dec 17 15:25:34 UTC 2025","Validate entity","Files","",""
"","267","Create file with empty directory","LMS service","Wed Dec 17 15:25:35 UTC 2025","passed","Wed Dec 17 15:25:35 UTC 2025","Validate entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Wed Dec 17 15:25:36 UTC 2025","passed","Wed Dec 17 15:25:36 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Wed Dec 17 15:25:34 UTC 2025","passed","Wed Dec 17 15:25:34 UTC 2025","Get entity","Files","",""
"","552","Create user","LMS service","Wed Dec 17 15:25:35 UTC 2025","passed","Wed Dec 17 15:25:36 UTC 2025","Create entity","Users","",""
"","39","Create courses","LMS service","Wed Dec 17 15:25:28 UTC 2025","passed","Wed Dec 17 15:25:28 UTC 2025","Create entity","Courses","",""
"","33","Update course","LMS service","Wed Dec 17 15:25:29 UTC 2025","passed","Wed Dec 17 15:25:29 UTC 2025","Update entity","Courses","",""
