"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Create user","LMS service","Thu Dec 18 15:24:19 UTC 2025","passed","Thu Dec 18 15:24:19 UTC 2025","Create entity","Users","",""
"","13","Get file","LMS service","Thu Dec 18 15:24:16 UTC 2025","passed","Thu Dec 18 15:24:16 UTC 2025","Get entity","Files","",""
"","293","Get exercise","LMS service","Thu Dec 18 15:24:14 UTC 2025","passed","Thu Dec 18 15:24:14 UTC 2025","Get entity","Exercises","",""
"","293","Update exercise","LMS service","Thu Dec 18 15:24:13 UTC 2025","passed","Thu Dec 18 15:24:13 UTC 2025","Update entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Thu Dec 18 15:24:10 UTC 2025","passed","Thu Dec 18 15:24:10 UTC 2025","Login","Authentication","",""
"","288","Create user","LMS service","Thu Dec 18 15:24:19 UTC 2025","passed","Thu Dec 18 15:24:19 UTC 2025","Create entity","Users","",""
"","33","Create courses","LMS service","Thu Dec 18 15:24:10 UTC 2025","passed","Thu Dec 18 15:24:10 UTC 2025","Create entity","Courses","",""
"","312","Get exercises","LMS service","Thu Dec 18 15:24:15 UTC 2025","passed","Thu Dec 18 15:24:15 UTC 2025","Get entities","Exercises","",""
"","291","Delete file","LMS service","Thu Dec 18 15:24:18 UTC 2025","passed","Thu Dec 18 15:24:18 UTC 2025","Delete entity","Files","",""
"","18","Create file","LMS service","Thu Dec 18 15:24:15 UTC 2025","passed","Thu Dec 18 15:24:15 UTC 2025","Create entity","Files","",""
"","554","Create user","LMS service","Thu Dec 18 15:24:18 UTC 2025","passed","Thu Dec 18 15:24:19 UTC 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Thu Dec 18 15:24:13 UTC 2025","passed","Thu Dec 18 15:24:13 UTC 2025","Create entity","Exercises","",""
"","32","Get courses","LMS service","Thu Dec 18 15:24:11 UTC 2025","passed","Thu Dec 18 15:24:11 UTC 2025","Get entities","Courses","",""
"","34","Update course","LMS service","Thu Dec 18 15:24:11 UTC 2025","passed","Thu Dec 18 15:24:11 UTC 2025","Update entity","Courses","",""
"","290","Delete exercise","LMS service","Thu Dec 18 15:24:14 UTC 2025","passed","Thu Dec 18 15:24:15 UTC 2025","Delete entity","Exercises","",""
"","269","Create file with empty directory","LMS service","Thu Dec 18 15:24:17 UTC 2025","passed","Thu Dec 18 15:24:18 UTC 2025","Validate entity","Files","",""
"","275","Get file with incorrect file id","LMS service","Thu Dec 18 15:24:18 UTC 2025","passed","Thu Dec 18 15:24:19 UTC 2025","Validate entity","Files","",""
"","18","Create file with empty filename","LMS service","Thu Dec 18 15:24:16 UTC 2025","passed","Thu Dec 18 15:24:16 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Thu Dec 18 15:24:20 UTC 2025","passed","Thu Dec 18 15:24:20 UTC 2025","Get entity","Users","",""
